base_batch_size	taxa	requested_batch_size	actual_batch_size	max_alignment_length	mean_alignment_length	status	peak_allocated_mib	peak_reserved_mib	elapsed_sec	loss	msa_ids	error
32	174	2	2	1003	1003.0	oom					pandit_like_005497,pandit_like_013551	CUDA out of memory. Tried to allocate 60.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 36.94 MiB is free. Including non-PyTorch memory, this process has 79.20 GiB memory in use. Of the allocated memory 78.37 GiB is allocated by PyTorch, and 337.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	184	2	2	253	253.0	ok	61438.3	69842.0	10.122	-458.759	pandit_like_001042,pandit_like_009266	
32	185	2	2	269	269.0	ok	62978.7	72122.0	10.219	-384.739	pandit_like_001015,pandit_like_006706	
32	195	2	2	296	296.0	ok	72758.1	72932.0	12.094	-443.157	pandit_like_001644,pandit_like_005951	
32	200	2	2	218	218.0	ok	70846.7	70992.0	11.069	-576.062	pandit_like_002345,pandit_like_009231	
32	201	1	1	548	548.0	ok	48818.1	60192.0	9.503	-384.013	pandit_like_006705	
32	205	1	1	314	314.0	ok	41473.7	55272.0	9.087	-653.07	pandit_like_008889	
32	226	1	1	379	379.0	ok	54346.2	73510.0	10.645	-517.502	pandit_like_002140	
32	247	1	1	319	319.0	ok	62549.0	72886.0	12.802	-809.785	pandit_like_000307	
32	252	1	1	273	273.0	ok	63427.7	72312.0	12.851	-1096.58	pandit_like_007999	
