msa_id	split	relative_path	tree_path	num_sequences	alignment_length	source_train_msa_id	source_gap_ratio	source_informative_site_ratio	source_gamma_alpha	model	model_without_alpha	best_model	best_model_base	has_G	has_I	has_F	gap_bucket	base_indel_rate	base_indel_size	indel_rate	indel_size	length_bin	override_applied	override_reason	indel_fallback_note	tree_bucket	source_total_tree_length	target_total_tree_length	tree_scale	indels	estimated_total_flash_mib
pandit_like_039436	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_039436.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_039436/tree/pandit_like_039436.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	135.470331871	0.007,0.007	72472.2
pandit_like_062476	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_062476.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_062476/tree/pandit_like_062476.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	159.175476096	0.007,0.007	72472.2
pandit_like_064971	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_064971.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_064971/tree/pandit_like_064971.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	3.26911771827	0.007,0.007	72472.2
pandit_like_065036	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_065036.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_065036/tree/pandit_like_065036.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	4.81615658972	0.007,0.007	72472.2
pandit_like_071680	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_071680.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_071680/tree/pandit_like_071680.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	6.51209099126	0.007,0.007	72472.2
pandit_like_075653	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_075653.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_075653/tree/pandit_like_075653.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	6.31087223423	0.007,0.007	72472.2
pandit_like_076140	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_076140.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_076140/tree/pandit_like_076140.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	97.3280511563	0.007,0.007	72472.2
pandit_like_076621	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_076621.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_076621/tree/pandit_like_076621.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	7.75316341171	0.007,0.007	72472.2
pandit_like_084365	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_084365.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_084365/tree/pandit_like_084365.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	16.4104997917	0.007,0.007	72472.2
pandit_like_096500	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_096500.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_096500/tree/pandit_like_096500.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	6.35532819231	0.007,0.007	72472.2
pandit_like_096625	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_096625.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_096625/tree/pandit_like_096625.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	7.94854569489	0.007,0.007	72472.2
pandit_like_104719	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_104719.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_104719/tree/pandit_like_104719.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	6.55074350373	0.007,0.007	72472.2
pandit_like_106818	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_106818.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_106818/tree/pandit_like_106818.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	21.008458277	0.007,0.007	72472.2
pandit_like_108232	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_108232.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_108232/tree/pandit_like_108232.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	135.783739248	0.007,0.007	72472.2
pandit_like_118330	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_118330.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_118330/tree/pandit_like_118330.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	22.107528546	0.007,0.007	72472.2
pandit_like_121805	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_121805.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_121805/tree/pandit_like_121805.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	12.4040144897	0.007,0.007	72472.2
pandit_like_124858	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_124858.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_124858/tree/pandit_like_124858.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	7.43018678781	0.007,0.007	72472.2
pandit_like_131423	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_131423.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_131423/tree/pandit_like_131423.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	78.0834656438	0.007,0.007	72472.2
pandit_like_145832	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_145832.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_145832/tree/pandit_like_145832.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	13.372097917	0.007,0.007	72472.2
pandit_like_147292	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_147292.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_147292/tree/pandit_like_147292.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	8.55814522832	0.007,0.007	72472.2
pandit_like_151192	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_151192.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_151192/tree/pandit_like_151192.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	1.06690361845	0.007,0.007	72472.2
pandit_like_152166	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_152166.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_152166/tree/pandit_like_152166.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	2.4866583969	0.007,0.007	72472.2
pandit_like_160952	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_160952.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_160952/tree/pandit_like_160952.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	8.25611269108	0.007,0.007	72472.2
pandit_like_161173	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_161173.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_161173/tree/pandit_like_161173.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	2.99547246139	0.007,0.007	72472.2
pandit_like_170512	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_170512.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_170512/tree/pandit_like_170512.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	8.55541720436	0.007,0.007	72472.2
pandit_like_171998	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_171998.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_171998/tree/pandit_like_171998.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	6.00123342709	0.007,0.007	72472.2
pandit_like_175016	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_175016.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_175016/tree/pandit_like_175016.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	2.71815489857	0.007,0.007	72472.2
pandit_like_182484	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_182484.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_182484/tree/pandit_like_182484.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	5.75080561629	0.007,0.007	72472.2
pandit_like_194642	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_194642.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_194642/tree/pandit_like_194642.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	32.3859605456	0.007,0.007	72472.2
pandit_like_000637	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_000637.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_000637/tree/pandit_like_000637.nwk	278	750	1552	0.684206235012	0.437333333333	1.1255	WAG+F+G4{1.1255}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	241.0882867294	241.0882867294	8.28645946281	0.007,0.007	99523.1
pandit_like_009183	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_009183.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_009183/tree/pandit_like_009183.nwk	278	750	1552	0.684206235012	0.437333333333	1.1255	WAG+F+G4{1.1255}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	241.0882867294	241.0882867294	136.877940712	0.007,0.007	99523.1
pandit_like_020288	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_020288.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_020288/tree/pandit_like_020288.nwk	278	750	1552	0.684206235012	0.437333333333	1.1255	WAG+F+G4{1.1255}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	241.0882867294	241.0882867294	162.182752686	0.007,0.007	99523.1
pandit_like_020570	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_020570.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_020570/tree/pandit_like_020570.nwk	278	750	1552	0.684206235012	0.437333333333	1.1255	WAG+F+G4{1.1255}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	241.0882867294	241.0882867294	5.62104044816	0.007,0.007	99523.1
pandit_like_021209	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_021209.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_021209/tree/pandit_like_021209.nwk	278	750	1552	0.684206235012	0.437333333333	1.1255	WAG+F+G4{1.1255}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	241.0882867294	241.0882867294	12.696576009	0.007,0.007	99523.1
pandit_like_027379	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_027379.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_027379/tree/pandit_like_027379.nwk	278	750	1552	0.684206235012	0.437333333333	1.1255	WAG+F+G4{1.1255}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	241.0882867294	241.0882867294	1.61091653336	0.007,0.007	99523.1
