msa_id	relative_path	num_sequences	alignment_length	seq_bin	len_bin	stratum	split
80	data_pandit/aa/80/data.80	45	764	<=50	501-1000	<=50|501-1000	train
81	data_pandit/aa/81/data.81	49	617	<=50	501-1000	<=50|501-1000	train
82	data_pandit/aa/82/data.82	80	92	51-100	<=500	51-100|<=500	train
83	data_pandit/aa/83/data.83	51	122	51-100	<=500	51-100|<=500	train
84	data_pandit/aa/84/data.84	20	84	<=50	<=500	<=50|<=500	train
85	data_pandit/aa/85/data.85	48	81	<=50	<=500	<=50|<=500	train
87	data_pandit/aa/87/data.87	76	355	51-100	<=500	51-100|<=500	train
89	data_pandit/aa/89/data.89	126	285	101-200	<=500	101-200|<=500	train
90	data_pandit/aa/90/data.90	195	296	101-200	<=500	101-200|<=500	train
91	data_pandit/aa/91/data.91	20	99	<=50	<=500	<=50|<=500	train
92	data_pandit/aa/92/data.92	69	215	51-100	<=500	51-100|<=500	train
97	data_pandit/aa/97/data.97	84	403	51-100	<=500	51-100|<=500	train
98	data_pandit/aa/98/data.98	49	128	<=50	<=500	<=50|<=500	train
100	data_pandit/aa/100/data.100	17	237	<=50	<=500	<=50|<=500	train
102	data_pandit/aa/102/data.102	27	80	<=50	<=500	<=50|<=500	train
105	data_pandit/aa/105/data.105	22	291	<=50	<=500	<=50|<=500	train
106	data_pandit/aa/106/data.106	169	347	101-200	<=500	101-200|<=500	train
107	data_pandit/aa/107/data.107	15	394	<=50	<=500	<=50|<=500	train
109	data_pandit/aa/109/data.109	162	367	101-200	<=500	101-200|<=500	train
110	data_pandit/aa/110/data.110	11	298	<=50	<=500	<=50|<=500	train
111	data_pandit/aa/111/data.111	23	155	<=50	<=500	<=50|<=500	train
112	data_pandit/aa/112/data.112	24	524	<=50	501-1000	<=50|501-1000	train
113	data_pandit/aa/113/data.113	32	136	<=50	<=500	<=50|<=500	train
114	data_pandit/aa/114/data.114	137	292	101-200	<=500	101-200|<=500	train
115	data_pandit/aa/115/data.115	41	625	<=50	501-1000	<=50|501-1000	train
116	data_pandit/aa/116/data.116	30	198	<=50	<=500	<=50|<=500	train
117	data_pandit/aa/117/data.117	106	340	101-200	<=500	101-200|<=500	train
120	data_pandit/aa/120/data.120	26	28	<=50	<=500	<=50|<=500	train
125	data_pandit/aa/125/data.125	54	673	51-100	501-1000	51-100|501-1000	train
126	data_pandit/aa/126/data.126	25	181	<=50	<=500	<=50|<=500	train
128	data_pandit/aa/128/data.128	21	80	<=50	<=500	<=50|<=500	train
131	data_pandit/aa/131/data.131	150	194	101-200	<=500	101-200|<=500	train
134	data_pandit/aa/134/data.134	35	70	<=50	<=500	<=50|<=500	train
136	data_pandit/aa/136/data.136	22	229	<=50	<=500	<=50|<=500	train
139	data_pandit/aa/139/data.139	16	282	<=50	<=500	<=50|<=500	train
140	data_pandit/aa/140/data.140	17	193	<=50	<=500	<=50|<=500	train
141	data_pandit/aa/141/data.141	130	690	101-200	501-1000	101-200|501-1000	train
142	data_pandit/aa/142/data.142	31	546	<=50	501-1000	<=50|501-1000	train
143	data_pandit/aa/143/data.143	25	344	<=50	<=500	<=50|<=500	train
144	data_pandit/aa/144/data.144	11	272	<=50	<=500	<=50|<=500	train
145	data_pandit/aa/145/data.145	31	568	<=50	501-1000	<=50|501-1000	train
147	data_pandit/aa/147/data.147	67	513	51-100	501-1000	51-100|501-1000	train
148	data_pandit/aa/148/data.148	16	379	<=50	<=500	<=50|<=500	train
151	data_pandit/aa/151/data.151	28	329	<=50	<=500	<=50|<=500	train
152	data_pandit/aa/152/data.152	48	526	<=50	501-1000	<=50|501-1000	train
153	data_pandit/aa/153/data.153	130	241	101-200	<=500	101-200|<=500	train
154	data_pandit/aa/154/data.154	10	78	<=50	<=500	<=50|<=500	train
158	data_pandit/aa/158/data.158	19	351	<=50	<=500	<=50|<=500	train
159	data_pandit/aa/159/data.159	25	530	<=50	501-1000	<=50|501-1000	train
161	data_pandit/aa/161/data.161	20	147	<=50	<=500	<=50|<=500	train
163	data_pandit/aa/163/data.163	48	127	<=50	<=500	<=50|<=500	train
167	data_pandit/aa/167/data.167	22	65	<=50	<=500	<=50|<=500	train
168	data_pandit/aa/168/data.168	122	616	101-200	501-1000	101-200|501-1000	train
171	data_pandit/aa/171/data.171	15	261	<=50	<=500	<=50|<=500	train
173	data_pandit/aa/173/data.173	23	510	<=50	501-1000	<=50|501-1000	train
174	data_pandit/aa/174/data.174	21	185	<=50	<=500	<=50|<=500	train
175	data_pandit/aa/175/data.175	15	92	<=50	<=500	<=50|<=500	train
176	data_pandit/aa/176/data.176	75	239	51-100	<=500	51-100|<=500	train
177	data_pandit/aa/177/data.177	25	464	<=50	<=500	<=50|<=500	train
178	data_pandit/aa/178/data.178	62	94	51-100	<=500	51-100|<=500	train
180	data_pandit/aa/180/data.180	11	571	<=50	501-1000	<=50|501-1000	train
181	data_pandit/aa/181/data.181	10	80	<=50	<=500	<=50|<=500	train
183	data_pandit/aa/183/data.183	19	257	<=50	<=500	<=50|<=500	train
184	data_pandit/aa/184/data.184	19	44	<=50	<=500	<=50|<=500	train
187	data_pandit/aa/187/data.187	226	379	>200	<=500	>200|<=500	train
189	data_pandit/aa/189/data.189	12	105	<=50	<=500	<=50|<=500	train
191	data_pandit/aa/191/data.191	21	232	<=50	<=500	<=50|<=500	train
192	data_pandit/aa/192/data.192	30	58	<=50	<=500	<=50|<=500	train
194	data_pandit/aa/194/data.194	79	290	51-100	<=500	51-100|<=500	train
195	data_pandit/aa/195/data.195	21	408	<=50	<=500	<=50|<=500	train
199	data_pandit/aa/199/data.199	22	82	<=50	<=500	<=50|<=500	train
201	data_pandit/aa/201/data.201	23	187	<=50	<=500	<=50|<=500	train
202	data_pandit/aa/202/data.202	19	345	<=50	<=500	<=50|<=500	train
204	data_pandit/aa/204/data.204	127	330	101-200	<=500	101-200|<=500	train
205	data_pandit/aa/205/data.205	15	642	<=50	501-1000	<=50|501-1000	train
206	data_pandit/aa/206/data.206	95	204	51-100	<=500	51-100|<=500	train
209	data_pandit/aa/209/data.209	20	180	<=50	<=500	<=50|<=500	train
210	data_pandit/aa/210/data.210	10	42	<=50	<=500	<=50|<=500	train
211	data_pandit/aa/211/data.211	92	402	51-100	<=500	51-100|<=500	train
212	data_pandit/aa/212/data.212	82	106	51-100	<=500	51-100|<=500	train
213	data_pandit/aa/213/data.213	6	275	<=50	<=500	<=50|<=500	train
214	data_pandit/aa/214/data.214	20	282	<=50	<=500	<=50|<=500	train
217	data_pandit/aa/217/data.217	10	517	<=50	501-1000	<=50|501-1000	train
219	data_pandit/aa/219/data.219	13	387	<=50	<=500	<=50|<=500	train
222	data_pandit/aa/222/data.222	185	269	101-200	<=500	101-200|<=500	train
226	data_pandit/aa/226/data.226	19	343	<=50	<=500	<=50|<=500	train
227	data_pandit/aa/227/data.227	14	569	<=50	501-1000	<=50|501-1000	train
228	data_pandit/aa/228/data.228	8	255	<=50	<=500	<=50|<=500	train
229	data_pandit/aa/229/data.229	200	218	101-200	<=500	101-200|<=500	train
232	data_pandit/aa/232/data.232	20	140	<=50	<=500	<=50|<=500	train
233	data_pandit/aa/233/data.233	19	142	<=50	<=500	<=50|<=500	train
234	data_pandit/aa/234/data.234	16	167	<=50	<=500	<=50|<=500	train
236	data_pandit/aa/236/data.236	16	165	<=50	<=500	<=50|<=500	train
237	data_pandit/aa/237/data.237	6	423	<=50	<=500	<=50|<=500	train
239	data_pandit/aa/239/data.239	16	242	<=50	<=500	<=50|<=500	train
242	data_pandit/aa/242/data.242	67	402	51-100	<=500	51-100|<=500	train
244	data_pandit/aa/244/data.244	21	140	<=50	<=500	<=50|<=500	train
245	data_pandit/aa/245/data.245	19	549	<=50	501-1000	<=50|501-1000	train
248	data_pandit/aa/248/data.248	184	253	101-200	<=500	101-200|<=500	train
249	data_pandit/aa/249/data.249	12	118	<=50	<=500	<=50|<=500	train
251	data_pandit/aa/251/data.251	27	396	<=50	<=500	<=50|<=500	train
252	data_pandit/aa/252/data.252	94	240	51-100	<=500	51-100|<=500	train
255	data_pandit/aa/255/data.255	11	389	<=50	<=500	<=50|<=500	train
256	data_pandit/aa/256/data.256	57	348	51-100	<=500	51-100|<=500	train
257	data_pandit/aa/257/data.257	14	408	<=50	<=500	<=50|<=500	train
258	data_pandit/aa/258/data.258	13	191	<=50	<=500	<=50|<=500	train
261	data_pandit/aa/261/data.261	13	299	<=50	<=500	<=50|<=500	train
263	data_pandit/aa/263/data.263	201	548	>200	501-1000	>200|501-1000	train
265	data_pandit/aa/265/data.265	16	34	<=50	<=500	<=50|<=500	train
266	data_pandit/aa/266/data.266	43	186	<=50	<=500	<=50|<=500	train
268	data_pandit/aa/268/data.268	35	506	<=50	501-1000	<=50|501-1000	train
270	data_pandit/aa/270/data.270	9	112	<=50	<=500	<=50|<=500	train
271	data_pandit/aa/271/data.271	55	220	51-100	<=500	51-100|<=500	train
272	data_pandit/aa/272/data.272	13	65	<=50	<=500	<=50|<=500	train
274	data_pandit/aa/274/data.274	12	407	<=50	<=500	<=50|<=500	train
278	data_pandit/aa/278/data.278	17	143	<=50	<=500	<=50|<=500	train
279	data_pandit/aa/279/data.279	11	344	<=50	<=500	<=50|<=500	train
280	data_pandit/aa/280/data.280	256	549	>200	501-1000	>200|501-1000	train
281	data_pandit/aa/281/data.281	20	135	<=50	<=500	<=50|<=500	train
282	data_pandit/aa/282/data.282	21	283	<=50	<=500	<=50|<=500	train
283	data_pandit/aa/283/data.283	97	436	51-100	<=500	51-100|<=500	train
284	data_pandit/aa/284/data.284	6	126	<=50	<=500	<=50|<=500	train
285	data_pandit/aa/285/data.285	205	314	>200	<=500	>200|<=500	train
286	data_pandit/aa/286/data.286	85	404	51-100	<=500	51-100|<=500	train
287	data_pandit/aa/287/data.287	16	390	<=50	<=500	<=50|<=500	train
288	data_pandit/aa/288/data.288	15	373	<=50	<=500	<=50|<=500	train
289	data_pandit/aa/289/data.289	14	306	<=50	<=500	<=50|<=500	train
292	data_pandit/aa/292/data.292	43	54	<=50	<=500	<=50|<=500	train
293	data_pandit/aa/293/data.293	12	206	<=50	<=500	<=50|<=500	train
294	data_pandit/aa/294/data.294	19	384	<=50	<=500	<=50|<=500	train
295	data_pandit/aa/295/data.295	51	59	51-100	<=500	51-100|<=500	train
296	data_pandit/aa/296/data.296	17	698	<=50	501-1000	<=50|501-1000	train
297	data_pandit/aa/297/data.297	156	211	101-200	<=500	101-200|<=500	train
299	data_pandit/aa/299/data.299	14	339	<=50	<=500	<=50|<=500	train
300	data_pandit/aa/300/data.300	31	49	<=50	<=500	<=50|<=500	train
301	data_pandit/aa/301/data.301	60	579	51-100	501-1000	51-100|501-1000	train
305	data_pandit/aa/305/data.305	8	215	<=50	<=500	<=50|<=500	train
306	data_pandit/aa/306/data.306	14	380	<=50	<=500	<=50|<=500	train
313	data_pandit/aa/313/data.313	11	30	<=50	<=500	<=50|<=500	train
314	data_pandit/aa/314/data.314	28	621	<=50	501-1000	<=50|501-1000	train
317	data_pandit/aa/317/data.317	14	55	<=50	<=500	<=50|<=500	train
318	data_pandit/aa/318/data.318	104	944	101-200	501-1000	101-200|501-1000	train
319	data_pandit/aa/319/data.319	58	79	51-100	<=500	51-100|<=500	train
320	data_pandit/aa/320/data.320	12	531	<=50	501-1000	<=50|501-1000	train
321	data_pandit/aa/321/data.321	55	511	51-100	501-1000	51-100|501-1000	train
322	data_pandit/aa/322/data.322	16	333	<=50	<=500	<=50|<=500	train
323	data_pandit/aa/323/data.323	13	68	<=50	<=500	<=50|<=500	train
324	data_pandit/aa/324/data.324	12	135	<=50	<=500	<=50|<=500	train
325	data_pandit/aa/325/data.325	69	362	51-100	<=500	51-100|<=500	train
327	data_pandit/aa/327/data.327	87	275	51-100	<=500	51-100|<=500	train
330	data_pandit/aa/330/data.330	16	154	<=50	<=500	<=50|<=500	train
333	data_pandit/aa/333/data.333	9	747	<=50	501-1000	<=50|501-1000	train
334	data_pandit/aa/334/data.334	17	396	<=50	<=500	<=50|<=500	train
335	data_pandit/aa/335/data.335	20	149	<=50	<=500	<=50|<=500	train
341	data_pandit/aa/341/data.341	6	332	<=50	<=500	<=50|<=500	train
342	data_pandit/aa/342/data.342	56	106	51-100	<=500	51-100|<=500	train
344	data_pandit/aa/344/data.344	9	209	<=50	<=500	<=50|<=500	train
346	data_pandit/aa/346/data.346	27	27	<=50	<=500	<=50|<=500	train
348	data_pandit/aa/348/data.348	14	133	<=50	<=500	<=50|<=500	train
349	data_pandit/aa/349/data.349	13	155	<=50	<=500	<=50|<=500	train
350	data_pandit/aa/350/data.350	9	182	<=50	<=500	<=50|<=500	train
352	data_pandit/aa/352/data.352	17	444	<=50	<=500	<=50|<=500	train
353	data_pandit/aa/353/data.353	15	97	<=50	<=500	<=50|<=500	train
356	data_pandit/aa/356/data.356	15	71	<=50	<=500	<=50|<=500	train
357	data_pandit/aa/357/data.357	18	35	<=50	<=500	<=50|<=500	train
358	data_pandit/aa/358/data.358	21	433	<=50	<=500	<=50|<=500	train
359	data_pandit/aa/359/data.359	13	267	<=50	<=500	<=50|<=500	train
363	data_pandit/aa/363/data.363	12	473	<=50	<=500	<=50|<=500	train
365	data_pandit/aa/365/data.365	7	132	<=50	<=500	<=50|<=500	train
368	data_pandit/aa/368/data.368	10	136	<=50	<=500	<=50|<=500	train
369	data_pandit/aa/369/data.369	11	87	<=50	<=500	<=50|<=500	train
371	data_pandit/aa/371/data.371	63	206	51-100	<=500	51-100|<=500	train
375	data_pandit/aa/375/data.375	8	128	<=50	<=500	<=50|<=500	train
378	data_pandit/aa/378/data.378	56	199	51-100	<=500	51-100|<=500	train
379	data_pandit/aa/379/data.379	90	143	51-100	<=500	51-100|<=500	train
380	data_pandit/aa/380/data.380	27	64	<=50	<=500	<=50|<=500	train
381	data_pandit/aa/381/data.381	59	330	51-100	<=500	51-100|<=500	train
384	data_pandit/aa/384/data.384	15	43	<=50	<=500	<=50|<=500	train
389	data_pandit/aa/389/data.389	20	51	<=50	<=500	<=50|<=500	train
393	data_pandit/aa/393/data.393	10	350	<=50	<=500	<=50|<=500	train
394	data_pandit/aa/394/data.394	23	191	<=50	<=500	<=50|<=500	train
396	data_pandit/aa/396/data.396	16	114	<=50	<=500	<=50|<=500	train
397	data_pandit/aa/397/data.397	20	172	<=50	<=500	<=50|<=500	train
399	data_pandit/aa/399/data.399	43	74	<=50	<=500	<=50|<=500	train
402	data_pandit/aa/402/data.402	7	68	<=50	<=500	<=50|<=500	train
403	data_pandit/aa/403/data.403	15	132	<=50	<=500	<=50|<=500	train
405	data_pandit/aa/405/data.405	12	35	<=50	<=500	<=50|<=500	train
408	data_pandit/aa/408/data.408	19	525	<=50	501-1000	<=50|501-1000	train
409	data_pandit/aa/409/data.409	13	628	<=50	501-1000	<=50|501-1000	train
410	data_pandit/aa/410/data.410	13	135	<=50	<=500	<=50|<=500	train
413	data_pandit/aa/413/data.413	24	150	<=50	<=500	<=50|<=500	train
414	data_pandit/aa/414/data.414	24	119	<=50	<=500	<=50|<=500	train
415	data_pandit/aa/415/data.415	18	781	<=50	501-1000	<=50|501-1000	train
416	data_pandit/aa/416/data.416	27	132	<=50	<=500	<=50|<=500	train
420	data_pandit/aa/420/data.420	8	329	<=50	<=500	<=50|<=500	train
421	data_pandit/aa/421/data.421	92	116	51-100	<=500	51-100|<=500	train
422	data_pandit/aa/422/data.422	75	130	51-100	<=500	51-100|<=500	train
423	data_pandit/aa/423/data.423	23	351	<=50	<=500	<=50|<=500	train
424	data_pandit/aa/424/data.424	12	101	<=50	<=500	<=50|<=500	train
425	data_pandit/aa/425/data.425	67	94	51-100	<=500	51-100|<=500	train
427	data_pandit/aa/427/data.427	62	179	51-100	<=500	51-100|<=500	train
428	data_pandit/aa/428/data.428	62	1766	51-100	1001-5000	51-100|1001-5000	train
429	data_pandit/aa/429/data.429	9	38	<=50	<=500	<=50|<=500	train
433	data_pandit/aa/433/data.433	58	222	51-100	<=500	51-100|<=500	train
434	data_pandit/aa/434/data.434	11	126	<=50	<=500	<=50|<=500	train
435	data_pandit/aa/435/data.435	86	684	51-100	501-1000	51-100|501-1000	train
439	data_pandit/aa/439/data.439	15	235	<=50	<=500	<=50|<=500	train
440	data_pandit/aa/440/data.440	12	343	<=50	<=500	<=50|<=500	train
443	data_pandit/aa/443/data.443	65	536	51-100	501-1000	51-100|501-1000	train
444	data_pandit/aa/444/data.444	16	32	<=50	<=500	<=50|<=500	train
445	data_pandit/aa/445/data.445	37	132	<=50	<=500	<=50|<=500	train
446	data_pandit/aa/446/data.446	8	540	<=50	501-1000	<=50|501-1000	train
447	data_pandit/aa/447/data.447	12	402	<=50	<=500	<=50|<=500	train
452	data_pandit/aa/452/data.452	20	251	<=50	<=500	<=50|<=500	train
453	data_pandit/aa/453/data.453	11	58	<=50	<=500	<=50|<=500	train
454	data_pandit/aa/454/data.454	38	140	<=50	<=500	<=50|<=500	train
457	data_pandit/aa/457/data.457	11	150	<=50	<=500	<=50|<=500	train
458	data_pandit/aa/458/data.458	12	484	<=50	<=500	<=50|<=500	train
460	data_pandit/aa/460/data.460	86	550	51-100	501-1000	51-100|501-1000	train
461	data_pandit/aa/461/data.461	120	203	101-200	<=500	101-200|<=500	train
462	data_pandit/aa/462/data.462	14	212	<=50	<=500	<=50|<=500	train
463	data_pandit/aa/463/data.463	36	383	<=50	<=500	<=50|<=500	train
465	data_pandit/aa/465/data.465	65	342	51-100	<=500	51-100|<=500	train
467	data_pandit/aa/467/data.467	12	222	<=50	<=500	<=50|<=500	train
471	data_pandit/aa/471/data.471	10	158	<=50	<=500	<=50|<=500	train
472	data_pandit/aa/472/data.472	10	333	<=50	<=500	<=50|<=500	train
473	data_pandit/aa/473/data.473	11	346	<=50	<=500	<=50|<=500	train
477	data_pandit/aa/477/data.477	81	297	51-100	<=500	51-100|<=500	train
479	data_pandit/aa/479/data.479	15	179	<=50	<=500	<=50|<=500	train
480	data_pandit/aa/480/data.480	19	536	<=50	501-1000	<=50|501-1000	train
482	data_pandit/aa/482/data.482	22	185	<=50	<=500	<=50|<=500	train
483	data_pandit/aa/483/data.483	25	402	<=50	<=500	<=50|<=500	train
484	data_pandit/aa/484/data.484	49	267	<=50	<=500	<=50|<=500	train
485	data_pandit/aa/485/data.485	30	71	<=50	<=500	<=50|<=500	train
486	data_pandit/aa/486/data.486	6	498	<=50	<=500	<=50|<=500	train
488	data_pandit/aa/488/data.488	24	206	<=50	<=500	<=50|<=500	train
489	data_pandit/aa/489/data.489	15	577	<=50	501-1000	<=50|501-1000	train
491	data_pandit/aa/491/data.491	24	81	<=50	<=500	<=50|<=500	train
493	data_pandit/aa/493/data.493	29	588	<=50	501-1000	<=50|501-1000	train
497	data_pandit/aa/497/data.497	9	363	<=50	<=500	<=50|<=500	train
498	data_pandit/aa/498/data.498	26	112	<=50	<=500	<=50|<=500	train
499	data_pandit/aa/499/data.499	27	438	<=50	<=500	<=50|<=500	train
504	data_pandit/aa/504/data.504	26	167	<=50	<=500	<=50|<=500	train
507	data_pandit/aa/507/data.507	24	152	<=50	<=500	<=50|<=500	train
508	data_pandit/aa/508/data.508	92	338	51-100	<=500	51-100|<=500	train
509	data_pandit/aa/509/data.509	49	361	<=50	<=500	<=50|<=500	train
511	data_pandit/aa/511/data.511	92	98	51-100	<=500	51-100|<=500	train
512	data_pandit/aa/512/data.512	9	365	<=50	<=500	<=50|<=500	train
513	data_pandit/aa/513/data.513	116	148	101-200	<=500	101-200|<=500	train
514	data_pandit/aa/514/data.514	78	236	51-100	<=500	51-100|<=500	train
517	data_pandit/aa/517/data.517	35	76	<=50	<=500	<=50|<=500	train
520	data_pandit/aa/520/data.520	4	143	<=50	<=500	<=50|<=500	train
521	data_pandit/aa/521/data.521	9	255	<=50	<=500	<=50|<=500	train
522	data_pandit/aa/522/data.522	10	70	<=50	<=500	<=50|<=500	train
523	data_pandit/aa/523/data.523	95	134	51-100	<=500	51-100|<=500	train
524	data_pandit/aa/524/data.524	10	247	<=50	<=500	<=50|<=500	train
526	data_pandit/aa/526/data.526	5	100	<=50	<=500	<=50|<=500	train
527	data_pandit/aa/527/data.527	21	210	<=50	<=500	<=50|<=500	train
529	data_pandit/aa/529/data.529	72	74	51-100	<=500	51-100|<=500	train
530	data_pandit/aa/530/data.530	15	222	<=50	<=500	<=50|<=500	train
532	data_pandit/aa/532/data.532	17	108	<=50	<=500	<=50|<=500	train
534	data_pandit/aa/534/data.534	38	263	<=50	<=500	<=50|<=500	train
535	data_pandit/aa/535/data.535	30	45	<=50	<=500	<=50|<=500	train
537	data_pandit/aa/537/data.537	18	87	<=50	<=500	<=50|<=500	train
540	data_pandit/aa/540/data.540	49	471	<=50	<=500	<=50|<=500	train
543	data_pandit/aa/543/data.543	64	112	51-100	<=500	51-100|<=500	train
546	data_pandit/aa/546/data.546	52	149	51-100	<=500	51-100|<=500	train
548	data_pandit/aa/548/data.548	10	46	<=50	<=500	<=50|<=500	train
553	data_pandit/aa/553/data.553	88	209	51-100	<=500	51-100|<=500	train
554	data_pandit/aa/554/data.554	55	91	51-100	<=500	51-100|<=500	train
555	data_pandit/aa/555/data.555	28	146	<=50	<=500	<=50|<=500	train
556	data_pandit/aa/556/data.556	35	921	<=50	501-1000	<=50|501-1000	train
557	data_pandit/aa/557/data.557	27	189	<=50	<=500	<=50|<=500	train
559	data_pandit/aa/559/data.559	41	855	<=50	501-1000	<=50|501-1000	train
560	data_pandit/aa/560/data.560	49	159	<=50	<=500	<=50|<=500	train
564	data_pandit/aa/564/data.564	16	94	<=50	<=500	<=50|<=500	train
565	data_pandit/aa/565/data.565	55	218	51-100	<=500	51-100|<=500	train
567	data_pandit/aa/567/data.567	143	214	101-200	<=500	101-200|<=500	train
568	data_pandit/aa/568/data.568	37	264	<=50	<=500	<=50|<=500	train
570	data_pandit/aa/570/data.570	25	283	<=50	<=500	<=50|<=500	train
572	data_pandit/aa/572/data.572	29	42	<=50	<=500	<=50|<=500	train
573	data_pandit/aa/573/data.573	61	114	51-100	<=500	51-100|<=500	train
574	data_pandit/aa/574/data.574	56	273	51-100	<=500	51-100|<=500	train
575	data_pandit/aa/575/data.575	14	183	<=50	<=500	<=50|<=500	train
577	data_pandit/aa/577/data.577	6	97	<=50	<=500	<=50|<=500	train
580	data_pandit/aa/580/data.580	5	761	<=50	501-1000	<=50|501-1000	train
581	data_pandit/aa/581/data.581	6	727	<=50	501-1000	<=50|501-1000	train
582	data_pandit/aa/582/data.582	6	782	<=50	501-1000	<=50|501-1000	train
583	data_pandit/aa/583/data.583	4	111	<=50	<=500	<=50|<=500	train
584	data_pandit/aa/584/data.584	15	803	<=50	501-1000	<=50|501-1000	train
585	data_pandit/aa/585/data.585	16	236	<=50	<=500	<=50|<=500	train
587	data_pandit/aa/587/data.587	12	206	<=50	<=500	<=50|<=500	train
589	data_pandit/aa/589/data.589	33	116	<=50	<=500	<=50|<=500	train
593	data_pandit/aa/593/data.593	21	274	<=50	<=500	<=50|<=500	train
595	data_pandit/aa/595/data.595	12	248	<=50	<=500	<=50|<=500	train
596	data_pandit/aa/596/data.596	12	66	<=50	<=500	<=50|<=500	train
597	data_pandit/aa/597/data.597	61	102	51-100	<=500	51-100|<=500	train
598	data_pandit/aa/598/data.598	95	238	51-100	<=500	51-100|<=500	train
599	data_pandit/aa/599/data.599	13	212	<=50	<=500	<=50|<=500	train
600	data_pandit/aa/600/data.600	77	240	51-100	<=500	51-100|<=500	train
604	data_pandit/aa/604/data.604	57	102	51-100	<=500	51-100|<=500	train
607	data_pandit/aa/607/data.607	46	233	<=50	<=500	<=50|<=500	train
608	data_pandit/aa/608/data.608	25	108	<=50	<=500	<=50|<=500	train
609	data_pandit/aa/609/data.609	20	58	<=50	<=500	<=50|<=500	train
610	data_pandit/aa/610/data.610	75	576	51-100	501-1000	51-100|501-1000	train
612	data_pandit/aa/612/data.612	25	35	<=50	<=500	<=50|<=500	train
613	data_pandit/aa/613/data.613	67	130	51-100	<=500	51-100|<=500	train
614	data_pandit/aa/614/data.614	175	223	101-200	<=500	101-200|<=500	train
615	data_pandit/aa/615/data.615	63	182	51-100	<=500	51-100|<=500	train
616	data_pandit/aa/616/data.616	8	127	<=50	<=500	<=50|<=500	train
617	data_pandit/aa/617/data.617	14	111	<=50	<=500	<=50|<=500	train
618	data_pandit/aa/618/data.618	26	187	<=50	<=500	<=50|<=500	train
619	data_pandit/aa/619/data.619	23	33	<=50	<=500	<=50|<=500	train
623	data_pandit/aa/623/data.623	14	94	<=50	<=500	<=50|<=500	train
626	data_pandit/aa/626/data.626	9	371	<=50	<=500	<=50|<=500	train
